"","Name","Beer_ID","ABV","IBU","Brewery_id","Style","Ounces"
"95","Damnesia",1473,0.062,NA,402,"American IPA",16
"96","Desolation IPA",837,0.062,43,402,"American IPA",16
"97","Liberty Ale",2592,0.059,NA,36,"American IPA",12
"98","IPA",2578,0.065,NA,36,"American IPA",12
"99","Summer Wheat",2577,0.045,NA,36,"American Pale Wheat Ale",12
"100","California Lager",2103,0.049,NA,36,"American Amber / Red Lager",12
"101","Brotherhood Steam",2102,0.056,NA,36,"California Common / Steam Beer",12
"102","Blood Orange Gose",2291,0.042,NA,172,"Gose",12
"103","Keebarlin' Pale Ale",1818,0.042,NA,172,"American Pale Ale (APA)",12
"104","the Kimmie, the Yink and the Holy Gose",1738,0.048,NA,172,"Gose",12
"105","Fall Hornin'",1563,0.06,NA,172,"Pumpkin Ale",12
"106","Barney Flats Oatmeal Stout",1520,0.057,13,172,"Oatmeal Stout",12
"107","Summer Solstice",1350,0.056,4,172,"Cream Ale",12
"108","Hop Ottin' IPA",1327,0.07,80,172,"American IPA",12
"109","Boont Amber Ale",1326,0.058,15,172,"American Amber / Red Ale",12
"110","Barney Flats Oatmeal Stout",1221,0.057,13,172,"Oatmeal Stout",12
"111","El Steinber Dark Lager",1217,0.055,25,172,"Vienna Lager",16
"112","Boont Amber Ale (2010)",811,0.058,15,172,"American Amber / Red Ale",12
"113","Summer Solstice Cerveza Crema (2009)",753,0.056,4,172,"Cream Ale",12
"114","Barney Flats Oatmeal Stout (2012)",572,0.057,13,172,"Oatmeal Stout",12
"115","Winter Solstice",523,0.069,6,172,"Winter Warmer",12
"116","Hop Ottin' IPA (2011)",367,0.07,80,172,"American IPA",12
"117","Boont Amber Ale (2011)",78,0.058,15,172,"American Amber / Red Ale",12
"118","Summer Solstice (2011)",77,0.056,4,172,"Cream Ale",12
"119","Poleeko Gold Pale Ale (2009)",76,0.055,28,172,"American Pale Ale (APA)",12
"120","Charlie's Rye IPA",2337,0.06,NA,147,"American IPA",16
"121","River Pig Pale Ale",410,0.054,NA,543,"American Pale Ale (APA)",16
"122","Oaky's Oatmeal Stout",409,0.047,NA,543,"Oatmeal Stout",16
"123","Angry Orchard Apple Ginger",1294,0.05,NA,435,"Cider",16
"124","Angry Orchard Crisp Apple",1293,0.05,NA,435,"Cider",16
"125","Angry Orchard Crisp Apple",1292,0.05,NA,435,"Cider",12
"126","Golden One",2207,0.068,NA,194,"Belgian Pale Ale",12
"127","Arjuna",2040,0.06,NA,194,"Witbier",12
"128","Uroboros",2039,0.085,NA,194,"American Stout",12
"129","Long Leaf",2511,0.071,75,70,"American IPA",16
"130","Honey Badger Blonde",2510,0.047,19,70,"American Blonde Ale",16
"131","Porter (a/k/a Black Gold Porter)",2509,0.06,23,70,"American Porter",16
"132","Sky High Rye",413,0.06,55,542,"American Pale Ale (APA)",12
"133","Whitsun",390,0.062,17,542,"American Pale Wheat Ale",12
"134","On-On Ale (2008)",735,0.052,NA,514,"American Pale Ale (APA)",12
"135","Quakertown Stout",1333,0.092,50,427,"American Double / Imperial Stout",12
"136","Greenbelt Farmhouse Ale",1332,0.051,20,427,"Saison / Farmhouse Ale",12
"137","Mo's Gose",1172,0.052,10,462,"Gose",16
"138","Green Bullet Organic India Pale Ale",1322,0.07,45,430,"American IPA",16
"139","Rocket Girl",550,0.032,27,529,"Kölsch",12
"140","Ninja Porter",429,0.053,26,529,"American Porter",12
"141","Shiva IPA",428,0.06,69,529,"American IPA",12
"142","Aslan Kölsch",1640,0.048,NA,354,"Kölsch",16
"143","Aslan IPA",1639,0.077,NA,354,"American IPA",16
"144","Aslan Amber",1638,0.077,NA,354,"American Amber / Red Ale",16
"145","This Season's Blonde",597,0.056,27,524,"American Blonde Ale",12
"146","Independence Pass Ale",596,0.07,67,524,"American IPA",12
"147","Trolley Stop Stout",1580,0.057,40,375,"American Stout",12
"148","Bitter Bitch Imperial IPA",980,0.082,138,375,"American Double / Imperial IPA",12
"149","Poop Deck Porter",979,0.062,35,375,"American Porter",12
"150","Old Red Beard Amber Ale",978,0.06,35,375,"American Amber / Red Ale",12
"151","Hop A-Peel",2503,0.075,115,73,"American Double / Imperial IPA",16
"152","Vanilla Java Porter",2502,0.055,12,73,"American Porter",16
"153","Michelada",2495,0.052,NA,73,"Fruit / Vegetable Beer",16
"154","Dirty Blonde Ale",534,0.045,8,73,"American Blonde Ale",12
"155","Grand Circus IPA",528,0.05,62,73,"American IPA",12
"156","Atwater's Lager",527,0.05,12,73,"Munich Helles Lager",12
"157","Heavy Machinery IPA Series #1: Heavy Fist",1409,0.07,NA,414,"American Black Ale",16
"158","Fire Eagle IPA",343,0.062,NA,414,"American IPA",12
"159","Peacemaker",342,0.051,NA,414,"American Pale Ale (APA)",12
"160","Pearl-Snap",341,0.053,NA,414,"German Pilsener",12
"161","Black Thunder",340,0.052,NA,414,"Schwarzbier",12
"162","Raja",2589,0.08,NA,38,"American Double / Imperial IPA",12
"163","Perzik Saison",2546,0.064,NA,38,"Saison / Farmhouse Ale",12
"164","Avery Joe’s Premium American Pilsner",146,0.047,42,38,"German Pilsener",12
"165","White Rascal",108,0.056,10,38,"Witbier",12
"166","Avery India Pale Ale",107,0.063,69,38,"American IPA",12
"167","Ellie’s Brown Ale",106,0.055,17,38,"American Brown Ale",12
"168","Pumpkin Beast",1620,0.062,17,361,"Pumpkin Ale",12
"169","OktoberBeast",1579,0.072,22,361,"Märzen / Oktoberfest",12
"170","Mad Beach",1228,0.048,23,361,"American Pale Wheat Ale",12
"171","Hog Wild India Pale Ale",705,0.067,NA,361,"American IPA",12
"172","Devils Tramping Ground Tripel",704,0.092,5,361,"Tripel",12
"173","Hot Rod Red",702,0.061,41,361,"American Amber / Red Ale",12
"174","Palate Mallet",2058,0.086,NA,236,"American Double / Imperial IPA",12
"175","Back East Porter",1483,0.06,NA,236,"American Porter",12
"176","Back East Golden Ale",1426,0.049,NA,236,"American Blonde Ale",12
"177","Misty Mountain IPA",1132,0.07,NA,236,"American IPA",12
"178","Back East Ale",1131,0.05,NA,236,"American Amber / Red Ale",12
"179","Truck Stop Honey Brown Ale",1876,0.06,NA,287,"English Brown Ale",12
"180","Naked Pig Pale Ale",1875,0.06,43,287,"American Pale Ale (APA)",12
"181","Topcutter India Pale Ale",966,0.068,70,484,"American IPA",12
"182","Field 41 Pale Ale",965,0.044,38,484,"American Pale Ale (APA)",12
"183","Grapefruit Sculpin",2593,0.07,NA,35,"American IPA",12
"184","Even Keel",2105,0.038,40,35,"American IPA",12
"185","Ballast Point Pale Ale",1401,0.052,23,35,"Kölsch",12
"186","Big Eye India Pale Ale",1400,0.07,75,35,"American IPA",12
"187","Longfin Lager",1019,0.046,NA,35,"Munich Helles Lager",12
"188","Sculpin IPA",1018,0.07,70,35,"American IPA",12
"189","All Nighter Ale",1776,0.045,NA,319,"Extra Special / Strong Bitter (ESB)",12
"190","Banner American Rye",1644,0.045,20,319,"Rye Beer",12
"191","Banner American Ale",1643,0.035,45,319,"American Amber / Red Ale",12
"192","Thai.p.a",2618,0.07,46,21,"American IPA",16
"193","Barrio Blanco",2005,0.06,60,252,"American IPA",12
"194","Barrio Tucson Blonde",1343,0.045,NA,252,"American Blonde Ale",12
"195","Hop in the ‘Pool Helles",2404,0.049,22,117,"American Pilsner",12
"196","Ultra Gnar Gnar IPA",2323,0.067,60,117,"American IPA",12
"197","In-Tents India Pale Lager",2189,0.068,62,117,"American Pale Lager",12
"198","Lost Meridian Wit",2188,0.05,20,117,"Witbier",12
"199","Celestial Meridian Cascadian Dark Lager",2187,0.051,45,117,"Euro Dark Lager",12
"200","Wagon Party",1966,0.054,55,259,"California Common / Steam Beer",12
"201","Sky-Five",1965,0.067,70,259,"American IPA",12
"202","Stargrazer",1964,0.05,28,259,"Schwarzbier",12
"203","Wonderstuff",1963,0.054,48,259,"German Pilsener",12
"204","Tarnation California-Style Lager",1855,0.053,NA,293,"California Common / Steam Beer",12
"205","On the Count of 3 (2015)",1778,0.07,42,293,"Hefeweizen",16
"206","Summer Swelter",1209,0.047,NA,293,"American Pale Wheat Ale",12
"207","Phantom Punch Winter Stout",954,0.068,NA,293,"Foreign / Export Stout",12
"208","Hayride Autumn Ale",910,0.066,NA,293,"Rye Beer",12
"209","Celsius Summer Ale (2012)",707,0.047,NA,293,"American Pale Wheat Ale",12
"210","Amber Road",533,0.055,35,293,"American Amber / Red Ale",12
"211","Pamola Xtra Pale Ale",183,0.049,28,293,"American Pale Ale (APA)",12
"212","Stowaway IPA",182,0.069,69,293,"American IPA",12
"213","Hoptopus Double IPA",1806,0.088,108,307,"American Double / Imperial IPA",16
"214","Watermelon Ale",2435,0.05,10,104,"Fruit / Vegetable Beer",12
"215","Fenway American Pale Ale",2423,0.058,45,104,"American Pale Ale (APA)",12
"216","Back Bay IPA",2420,0.068,85,104,"American IPA",12
"217","Bunker Hill Blueberry Ale ",2419,0.048,16,104,"Other",12
"218","Oberon",2494,0.058,NA,77,"American Pale Wheat Ale",12
"219","Smitten",2325,0.06,NA,77,"Rye Beer",16
"220","Winter White",2022,0.05,NA,77,"Witbier",16
"221","Oberon",1989,0.058,NA,77,"American Pale Wheat Ale",16
"222","Two Hearted",1988,0.07,NA,77,"American IPA",16
"223","Best Brown",1955,0.058,NA,77,"American Brown Ale",16
"224","Moar",2558,0.044,44,54,"English India Pale Ale (IPA)",12
"225","Uber Lupin Schwarz IPA",2557,0.083,NA,54,"American Double / Imperial IPA",16
"226","Nordic Blonde",2556,0.057,27,54,"American Blonde Ale",12
"227","Cold Press",2496,0.06,NA,76,"American Black Ale",12
"228","Harness the Winter",2410,0.072,87,76,"American IPA",12
"229","14° ESB ",1902,0.056,32,76,"Extra Special / Strong Bitter (ESB)",12
"230","Bent Hop Golden IPA",1901,0.062,68,76,"American IPA",12
"231","Bent Paddle Black Ale",1261,0.06,34,76,"American Black Ale",12
"232","Venture Pils",1253,0.05,38,76,"German Pilsener",12
"233","Lost Sailor IPA",1900,0.055,40,279,"English India Pale Ale (IPA)",12
"234","Steel Rail Extra Pale Ale",1317,0.053,20,279,"American Pale Ale (APA)",12
"235","La Frontera Premium IPA",1158,0.078,NA,464,"American IPA",12
"236","Tejas Lager",1157,0.047,NA,464,"Czech Pilsener",12
"237","Number 22 Porter",1156,0.064,NA,464,"American Porter",12
"238","Big Bend Hefeweizen",1155,0.056,NA,464,"Hefeweizen",12
"239","Terlingua Gold",1154,0.06,NA,464,"American Blonde Ale",12
"240","Aprè Shred",2104,0.081,17,221,"American Strong Ale",16
"241","Hemlock Double IPA",1762,0.095,104,221,"American Double / Imperial IPA",12
"242","West Portal Colorado Common Summer Ale",1422,0.041,NA,221,"California Common / Steam Beer",16
"243","Disconnected Red",1067,0.067,85,221,"American Amber / Red Ale",16
"244","Big Elm IPA",1003,0.07,NA,478,"American IPA",12
"245","Gerry Dog Stout",1002,0.065,NA,478,"American Stout",12
"246","413 Farmhouse Ale",1001,0.06,NA,478,"Saison / Farmhouse Ale",12
"247","Dark Star",2639,0.08,54,9,"American Stout",16
"248","Ryecoe",2469,0.062,NA,9,"American IPA",16
"249","Blueberry Blonde",2586,0.06,NA,41,"Fruit / Vegetable Beer",12
"250","Galaxy IPA",2585,0.075,60,41,"American IPA",16
"251","Big River Pilsner",643,0.05,32,520,"Czech Pilsener",12
"252","House Brand IPA",632,0.06,55,520,"American IPA",12
"253","Big Sky IPA",1714,0.062,65,337,"American IPA",12
"254","Scape Goat Pale Ale",1713,0.05,40,337,"English Pale Ale",12
"255","Montana Trout Slayer Ale",1712,0.05,35,337,"American Pale Wheat Ale",12
"256","Moose Drool Brown Ale",1711,0.051,26,337,"American Brown Ale",12
"257","Powder Hound Winter Ale",1456,0.072,60,337,"English Strong Ale",12
"258","Moose Drool Brown Ale (2011)",767,0.051,26,337,"American Brown Ale",12
"259","Montana Trout Slayer Ale (2012)",766,0.05,35,337,"American Pale Wheat Ale",12
"260","Big Sky IPA (2012)",579,0.062,65,337,"American IPA",12
"261","Summer Honey",168,0.047,NA,337,"American Blonde Ale",12
"262","Scape Goat Pale Ale (2010)",159,0.05,40,337,"English Pale Ale",12
"263","Montana Trout Slayer Ale (2009)",35,0.05,35,337,"American Pale Wheat Ale",12
"264","Moose Drool Brown Ale (2009)",34,0.051,26,337,"American Brown Ale",12
"265","Arcus IPA",2096,0.069,81,222,"American IPA",12
"266","Wavemaker",2095,0.058,38,222,"American Amber / Red Ale",12
"267","Jack Pine Savage",1257,0.053,43,445,"American Pale Ale (APA)",16
"268","Forest Fire Imperial Smoked Rye",1256,0.099,85,445,"Rye Beer",16
"269","Bad Axe Imperial IPA",1255,0.098,76,445,"American Double / Imperial IPA",16
"270","Morning Wood",986,0.055,35,445,"Oatmeal Stout",16
"271","Bark Bite IPA",985,0.066,50,445,"American IPA",16
"272","Jalapeno Pale Ale",2508,0.055,45,71,"American Pale Ale (APA)",16
"273","Blown Out Brown",1441,0.052,NA,408,"American Brown Ale",12
"274","Single Hop Ale",1413,0.063,NA,408,"American Pale Ale (APA)",12
"275","Sawtooth Ale",1411,0.054,NA,408,"American Blonde Ale",12
"276","Saucy Intruder",2620,0.072,75,19,"Rye Beer",16
"277","Deception",2412,0.045,16,113,"American Blonde Ale",12
"278","Blackmarket Rye IPA",1898,0.075,35,113,"American IPA",12
"279","Black Market Hefeweizen",1897,0.05,8,113,"Hefeweizen",12
"280","Aftermath Pale Ale",1896,0.058,44,113,"American Pale Ale (APA)",12
"281","American India Red Ale",1850,0.071,83,295,"American Strong Ale",12
"282","American Red Porter",1849,0.071,45,295,"American Porter",12
"283","American Red Saison",1848,0.078,34,295,"Saison / Farmhouse Ale",12
"284","Colorado Red Ale",1847,0.066,44,295,"American Amber / Red Ale",12
"285","Saddle Bronc Brown Ale",2485,0.048,16,80,"American Brown Ale",12
"286","Bomber Mountain Amber Ale",2484,0.046,20,80,"American Amber / Red Ale",12
"287","Flying Sailor",2449,0.073,NA,96,"Rye Beer",12
"288","Nordskye ",2634,0.048,47,13,"American IPA",12
"289","North Third Stout",2153,0.06,30,13,"Foreign / Export Stout",12
"290","Honey Lav",1953,0.052,NA,13,"American Pale Wheat Ale",12
"291","Coconut Brown Ale",1496,0.068,NA,13,"American Brown Ale",12
"292","51K IPA",1481,0.07,51,13,"American IPA",12
"293","Grand Rabbits",1480,0.055,NA,13,"Cream Ale",12
"294","1800 Big Log Wheat (2012)",1564,0.05,NA,381,"American Pale Wheat Ale",12
"295","Double Play Pilsner",1541,NA,NA,381,"American Pilsner",12
"296","Brewerhood Brown Ale",1321,0.055,NA,381,"American Brown Ale",12
"297","Last Call Imperial Amber Ale",1320,0.08,NA,381,"American Amber / Red Ale",12
"298","Pernicious Double IPA",1319,0.096,NA,381,"American Double / Imperial IPA",12
"299","6-4-3 Double Play Pilsner",1303,0.052,NA,381,"German Pilsener",12
"300","N Street Drive-In 50th Anniversary IPA",1025,NA,NA,381,"American Double / Imperial IPA",12
"301","467 Ethan's Stout",1012,0.05,NA,381,"American Stout",12
"302","1335 Wicked Snout",942,0.064,NA,381,"Saison / Farmhouse Ale",12
"303","543 Skull Creek Fresh Hopped Pale Ale",937,0.045,NA,381,"American Pale Ale (APA)",12
"304","1327 Pod's ESB",888,0.056,37,381,"Extra Special / Strong Bitter (ESB)",12
"305","1327 Pod's ESB",886,0.056,37,381,"Extra Special / Strong Bitter (ESB)",12
"306","1327 Pod's ESB",612,0.056,37,381,"Extra Special / Strong Bitter (ESB)",12
"307","834 Happy As Ale",611,0.046,35,381,"American Pale Ale (APA)",12
"308","Yellow Collar",1372,0.059,NA,423,"Mead",12
"309","Green Collar",1371,0.059,NA,423,"Mead",12
"310","Quarter Mile Double IPA",1812,0.08,80,305,"American Double / Imperial IPA",12
"311","Full Nelson Pale Ale",1547,0.059,60,383,"American Pale Ale (APA)",12
"312","Steel Wheels ESB",1546,0.065,30,383,"Extra Special / Strong Bitter (ESB)",12
"313","Blue Mountain Classic Lager",1545,0.053,22,383,"Euro Pale Lager",12
"314","Full Nelson Pale Ale (2010)",119,0.059,60,383,"American Pale Ale (APA)",12
"315","Kölsch 151",1408,0.049,16,415,"Kölsch",12
"316","Professor Black",2490,NA,NA,78,"American Stout",12
"317","Little Boss",2489,NA,NA,78,"American Pale Wheat Ale",12
"318","Van Dayum!",2488,NA,NA,78,"American Amber / Red Ale",12
"319","Spirit Animal",2487,NA,NA,78,"American Pale Ale (APA)",12
"320","Toxic Sludge",939,0.07,NA,490,"American Black Ale",16
"321","Blue Point White IPA",692,0.06,40,490,"American White IPA",12
"322","Blue Point Summer Ale",667,0.044,16,490,"American Blonde Ale",12
"323","Toasted Lager",665,0.055,28,490,"Vienna Lager",12
"324","Bohemian Export Lager",1607,0.06,NA,365,"Dortmunder / Export Lager",12
"325","Altus Bohemes Altbier",1597,0.053,NA,365,"Altbier",12
"326","Cherny Bock",344,0.04,NA,365,"Schwarzbier",12
"327","Czech Pilsner",89,0.05,NA,365,"Czech Pilsener",12
"328","Viennese Lager",88,0.05,NA,365,"Vienna Lager",12
"329","Mad Manatee IPA",1569,0.065,NA,379,"American IPA",12
"330","Killer Whale Cream Ale",1568,0.055,NA,379,"Cream Ale",12
"331","Duke's Cold Nose Brown Ale",1188,0.06,NA,379,"American Brown Ale",12
"332","Longhop IPA",1891,0.042,30,282,"American IPA",16
"333","Lucky Buck",1890,0.04,34,282,"Irish Dry Stout",16
"334","Bomb Lager (New Recipe)",577,0.051,NA,526,"Munich Helles Lager",12
"335","Bomb Lager (Old Recipe)",513,0.045,27,526,"Munich Helles Lager",12
"336","Firestarter India Pale Ale",2422,0.066,72,108,"American IPA",12
"337","Kilt Dropper Scotch Ale",1727,0.075,22,108,"Scotch Ale / Wee Heavy",16
"338","Wood Splitter Pilsner",1614,0.048,30,108,"Czech Pilsener",16
"339","Gyptoberfest",1613,0.056,26,108,"Märzen / Oktoberfest",12
"340","Farmer Wirtz India Pale Ale",1549,0.07,94,108,"English India Pale Ale (IPA)",16
"341","Slow & Steady Golden Ale",1548,0.047,NA,108,"American Blonde Ale",12
"342","Pink-I Raspberry IPA",1517,0.068,NA,108,"American IPA",16
"343","Moe's Original Bar B Que 'Bama Brew Golden Ale",1500,0.047,NA,108,"American Blonde Ale",12
"344","Live Local Golden Ale",1421,0.047,NA,108,"American Blonde Ale",12
"345","Screaming Eagle Special Ale ESB",1360,0.048,38,108,"Extra Special / Strong Bitter (ESB)",12
"346","Dirtbag Dunkel",1184,0.049,NA,108,"Munich Dunkel Lager",16
"347","Kindler Pale Ale",1183,0.053,45,108,"American Pale Ale (APA)",12
"348","Mistress Winter Wheat",1023,0.064,NA,108,"Winter Warmer",12
"349","Tent Pole Vanilla Porter",998,0.061,NA,108,"American Porter",16
"350","Awry Rye Pale Ale",997,0.058,NA,108,"American Pale Ale (APA)",12
"351","Demshitz Brown Ale",996,0.058,NA,108,"American Brown Ale",12
"352","Wood Splitter Pilsner (2012)",931,0.048,NA,108,"Czech Pilsener",12
"353","Brush Creek Blonde",798,0.048,NA,108,"American Blonde Ale",16
"354","Firestarter India Pale Ale",633,0.066,72,108,"American IPA",16
"355","Noche Dulce",2062,0.071,16,232,"American Porter",16
"356","Porch Rocker",1830,0.045,8,301,"Radler",12
"357","Rebel IPA",1629,0.065,45,301,"American IPA",16
"358","Cold Snap",1601,0.055,NA,301,"Witbier",12
"359","Samuel Adams Winter Lager",1427,0.056,NA,301,"Bock",12
"360","Boston Lager",1349,0.049,30,301,"Vienna Lager",16
"361","Boston Lager",1310,0.049,30,301,"Vienna Lager",12
"362","Samuel Adams Octoberfest",1281,0.053,15,301,"Märzen / Oktoberfest",12
"363","Samuel Adams Summer Ale",1144,0.053,7,301,"American Pale Wheat Ale",12
"364","Boston Lager",1143,0.049,30,301,"Vienna Lager",12
"365","Hazed & Infused",1395,0.049,35,418,"American Pale Ale (APA)",12
"366","Hoopla Pale Ale",808,0.057,35,418,"American Pale Ale (APA)",12
"367","Hazed & Infused (2010)",81,0.049,35,418,"American Pale Ale (APA)",12
"368","Heavy Lifting",2596,0.062,80,32,"American IPA",12
"369","1492",2300,0.065,NA,168,"American Pale Ale (APA)",12
"370","Mango Ginger",2299,0.058,NA,168,"American IPA",12
"371","Passenger",2298,0.047,NA,168,"English Dark Mild Ale",12
"372","Plum St. Porter",2107,0.06,52,220,"American Porter",12
"373","Plum St. Porter",1573,0.057,52,220,"American Porter",12
"374","Bozone HopZone IPA",1289,0.07,80,220,"American IPA",12
"375","Bozone Hefe Weizen",1288,0.06,25,220,"Hefeweizen",12
"376","Bozone Select Amber Ale",470,0.055,NA,220,"American Amber / Red Ale",12
"377","Evil Owl",2167,0.052,40,208,"American Amber / Red Ale",12
"378","Post Time Kölsch",2204,0.05,NA,196,"Kölsch",16
"379","Agave Wheat",1522,0.042,9,392,"American Pale Wheat Ale",12
"380","SummerBright Ale",397,0.045,15,392,"American Pale Wheat Ale",12
"381","Lucky U IPA",193,0.062,68,392,"American IPA",12
"382","Avalanche Ale",83,0.054,19,392,"American Amber / Red Ale",12
